"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MDG_0000000017","PUBLISHED","2010","WPR","CHN","3.8 [3.7-4.0]","3.80000","3.70000","4.00000",""
"TB_1","PUBLISHED","2008","WPR","CHN","87 [75-100]","87.00000","75.00000","100.00000",""
"TB_1","PUBLISHED","2015","WPR","CHN","87 [75-100]","87.00000","75.00000","100.00000",""
"MDG_0000000001","PUBLISHED","2011","WPR","CHN","12.5 [11.8-13.4]","12.50000","11.80000","13.40000",""
"WHOSIS_000003","PUBLISHED","2003","WPR","CHN","17.0 [15.6-18.5]","16.98860","15.59180","18.50780",""
"WHOSIS_000003","PUBLISHED","2010","WPR","CHN","8.4 [7.6-9.2]","8.41122","7.63210","9.20255",""
"MDG_0000000007","PUBLISHED","2006","WPR","CHN","21.9 [20.5-23.3]","21.90000","20.50000","23.30000",""
"MDG_0000000007","PUBLISHED","2013","WPR","CHN","12.5 [11.6-13.4]","12.50000","11.60000","13.40000",""
"CM_01","PUBLISHED","2004","WPR","CHN","427","427.00000","","",""
"CM_03","PUBLISHED","2007","WPR","CHN","191","191.00000","","",""
"CM_02","PUBLISHED","2009","WPR","CHN","248","248.00000","","",""
"CM_03","PUBLISHED","2013","WPR","CHN","113","113.00000","","",""
"CM_02","PUBLISHED","2015","WPR","CHN","157","157.00000","","",""
"WHS3_45","PUBLISHED","2005","","CHN","1658","1658.00000","","",""
"WHS9_93","PUBLISHED","2003","WPR","CHN","3840","3840.00000","","","Figure does not include Hong Kong nor Macao."
"WHS9_93","PUBLISHED","2010","WPR","CHN","9010","9010.00000","","","Figure does not include Hong Kong nor Macao."
"WHS9_93","PUBLISHED","2012","WPR","CHN","10890","10890.00000","","","Figure does not include Hong Kong nor Macao."
"MALARIA001","PUBLISHED","2005","WPR","CHN","48","48.00000","","",""
"WHS3_48","PUBLISHED","2007","WPR","CHN","28 112","28112.00000","","",""
"MDG_0000000017","PUBLISHED","2009","WPR","CHN","4.2 [4.0-4.3]","4.20000","4.00000","4.30000",""
"MDG_0000000017","PUBLISHED","2006","WPR","CHN","5.3 [5.1-5.4]","5.30000","5.10000","5.40000",""
"TB_1","PUBLISHED","2005","WPR","CHN","75 [62-93]","75.00000","62.00000","93.00000",""
"TB_1","PUBLISHED","2007","WPR","CHN","86 [74-100]","86.00000","74.00000","100.00000",""
"MDG_0000000020","PUBLISHED","2011","WPR","CHN","77 [66-88]","77.00000","66.00000","88.00000",""
"MDG_0000000020","PUBLISHED","2007","WPR","CHN","86 [72-101]","86.00000","72.00000","101.00000",""
"WHOSIS_000003","PUBLISHED","2002","WPR","CHN","18.4 [16.9-20.1]","18.42260","16.89650","20.06000",""
"WHOSIS_000003","PUBLISHED","2004","WPR","CHN","15.5 [14.2-16.9]","15.50710","14.19180","16.93840",""
"MDG_0000000007","PUBLISHED","2003","WPR","CHN","28.9 [27.3-30.7]","28.90000","27.30000","30.70000",""
